Data,Hora UTC,PRECIPITACAO TOTAL,TEMPERATURA MAXIMA,TEMPERATURA MINIMA,UMIDADE REL MAX,UMIDADE REL MIN
2021/01/01,0000 UTC,,8,19,20,19
2021/01/01,0100 UTC,0,19,22,7,19
2021/01/01,0200 UTC,0,19,22,2,19
2021/01/01,0300 UTC,0,18,4,21,3
2021/01/01,0400 UTC,0,5,17,22,3
2021/01/01,0500 UTC,0,17,3,22,2
2021/01/01,0600 UTC,0,1,22,5,17
2021/01/01,0700 UTC,0,16,5,21,4
2021/01/01,0800 UTC,0,16,8,20,17
2021/01/01,0900 UTC,0,2,17,19,5
2021/01/01,1000 UTC,0,1,16,3,21
2021/01/01,1100 UTC,0,1,15,4,24
2021/01/01,1200 UTC,0,17,4,26,18
2021/01/01,1300 UTC,0,16,3,26,8
2021/01/01,1400 UTC,0,4,16,7,27
2021/01/01,1500 UTC,0,9,15,7,28
2021/01/01,1600 UTC,0,16,6,28,8
2021/01/01,1700 UTC,0,4,32,18,8
2021/01/01,1800 UTC,0,16,5,30,6
2021/01/01,1900 UTC,0,14,31,9,19
2021/01/01,2000 UTC,14,20,2,26,3
2021/01/01,2100 UTC,3,19,5,20,3
2021/01/01,2200 UTC,1,3,17,3,19
2021/01/01,2300 UTC,3,1,17,4,19
2021/01/02,0000 UTC,4,17,5,18,8
2021/01/02,0100 UTC,2,9,17,2,18
2021/01/02,0200 UTC,0,16,9,18,2
2021/01/02,0300 UTC,0,18,8,17,3
2021/01/02,0400 UTC,0,16,8,18,3
2021/01/02,0500 UTC,0,5,18,17,16
2021/01/02,0600 UTC,0,16,6,17,8
2021/01/02,0700 UTC,0,16,6,17,9
2021/01/02,0800 UTC,0,16,1,18,3
2021/01/02,0900 UTC,0,5,16,18,3
2021/01/02,1000 UTC,0,17,4,5,17
2021/01/02,1100 UTC,,9,17,1,19
2021/01/02,1200 UTC,0,17,1,8,18
2021/01/02,1300 UTC,0,17,1,24,17
2021/01/02,1400 UTC,0,1,17,1,24
2021/01/02,1500 UTC,0,27,8,18,6
2021/01/02,1600 UTC,0,17,8,25,6
2021/01/02,1700 UTC,0,6,18,8,25
2021/01/02,1800 UTC,0,6,17,2,26
2021/01/02,1900 UTC,0,16,9,9,18
2021/01/02,2000 UTC,0,5,17,6,26
2021/01/02,2100 UTC,0,17,9,24,18
2021/01/02,2200 UTC,0,9,16,23,7
2021/01/02,2300 UTC,0,25,24,2,16
2021/01/03,0000 UTC,6,19,4,24,1
2021/01/03,0100 UTC,,1,17,5,19
2021/01/03,0200 UTC,15,17,5,1,17
2021/01/03,0300 UTC,2,16,3,17,5
2021/01/03,0400 UTC,4,16,6,17,6
2021/01/03,0500 UTC,2,4,16,9,17
2021/01/03,0600 UTC,0,15,8,17,1
2021/01/03,0700 UTC,,9,15,2,16
2021/01/03,0800 UTC,0,15,4,7,15
2021/01/03,0900 UTC,0,5,16,5,16
2021/01/03,1000 UTC,0,4,16,4,17
2021/01/03,1100 UTC,0,4,17,4,18
2021/01/03,1200 UTC,0,1,20,2,16
2021/01/03,1300 UTC,0,22,8,18,16
2021/01/03,1400 UTC,0,17,6,22,8
2021/01/03,1500 UTC,0,1,17,6,24
2021/01/03,1600 UTC,0,1,17,1,26
2021/01/03,1700 UTC,0,18,28,1,19
2021/01/03,1800 UTC,0,1,17,26,4
2021/01/03,1900 UTC,0,7,17,26,9
2021/01/03,2000 UTC,0,4,17,7,25
2021/01/03,2100 UTC,0,2,25,1,17
2021/01/03,2200 UTC,0,4,18,5,23
2021/01/03,2300 UTC,0,2,23,8,18
2021/01/04,0000 UTC,20,1,16,6,17
2021/01/04,0100 UTC,6,6,18,8,16
2021/01/04,0200 UTC,5,2,16,3,17
2021/01/04,0300 UTC,,9,16,3,17
2021/01/04,0400 UTC,0,16,18,16,6
2021/01/04,0500 UTC,0,15,8,17,1
2021/01/04,0600 UTC,0,16,3,17,1
2021/01/04,0700 UTC,0,7,17,16,4
2021/01/04,0800 UTC,,2,15,2,16
2021/01/04,0900 UTC,0,4,16,17,1
2021/01/04,1000 UTC,0,3,16,3,17
2021/01/04,1100 UTC,0,16,3,18,3
2021/01/04,1200 UTC,0,17,2,19,2
2021/01/04,1300 UTC,0,2,16,6,21
2021/01/04,1400 UTC,0,16,3,22,1
2021/01/04,1500 UTC,0,3,17,1,23
2021/01/04,1600 UTC,0,3,18,3,24
2021/01/04,1700 UTC,0,6,17,24,9
2021/01/04,1800 UTC,0,1,27,2,18
2021/01/04,1900 UTC,0,18,1,25,2
2021/01/04,2000 UTC,0,17,4,25,1
2021/01/04,2100 UTC,0,2,16,6,24
2021/01/04,2200 UTC,0,3,16,2,22
2021/01/04,2300 UTC,0,3,21,3,16
2021/01/05,0000 UTC,0,17,2,21,7
2021/01/05,0100 UTC,0,17,7,21,1
2021/01/05,0200 UTC,0,17,3,8,17
2021/01/05,0300 UTC,0,17,7,8,18
2021/01/05,0400 UTC,0,17,6,20,5
2021/01/05,0500 UTC,0,17,7,19,6
2021/01/05,0600 UTC,0,4,20,7,18
2021/01/05,0700 UTC,0,6,20,7,17
2021/01/05,0800 UTC,0,17,5,2,17
2021/01/05,0900 UTC,0,17,9,1,17
2021/01/05,1000 UTC,0,7,18,7,20
2021/01/05,1100 UTC,0,5,18,5,21
2021/01/05,1200 UTC,0,8,18,8,24
2021/01/05,1300 UTC,0,20,27,20,17
2021/01/05,1400 UTC,0,9,18,3,25
2021/01/05,1500 UTC,0,17,8,27,7
2021/01/05,1600 UTC,0,2,14,8,27
2021/01/05,1700 UTC,0,7,16,8,28
2021/01/05,1800 UTC,0,9,19,7,27
2021/01/05,1900 UTC,0,3,18,8,27
2021/01/05,2000 UTC,0,9,18,3,26
2021/01/05,2100 UTC,0,8,17,8,25
2021/01/05,2200 UTC,1,22,20,22,20
2021/01/05,2300 UTC,,8,20,21,7
2021/01/06,0000 UTC,0,18,6,21,8
2021/01/06,0100 UTC,0,2,18,4,22
2021/01/06,0200 UTC,0,22,2,19,18
2021/01/06,0300 UTC,0,22,2,19,2
2021/01/06,0400 UTC,0,22,3,18,8
2021/01/06,0500 UTC,0,21,9,18,5
2021/01/06,0600 UTC,0,18,2,20,5
2021/01/06,0700 UTC,0,2,21,18,2
2021/01/06,0800 UTC,0,21,2,18,2
2021/01/06,0900 UTC,0,4,18,4,20
2021/01/06,1000 UTC,0,18,3,21,4
2021/01/06,1100 UTC,0,3,25,3,19
2021/01/06,1200 UTC,0,2,27,9,20
2021/01/06,1300 UTC,,8,18,3,27
2021/01/06,1400 UTC,0,4,19,4,27
2021/01/06,1500 UTC,0,7,17,28,4
2021/01/06,1600 UTC,0,18,8,29,20
2021/01/06,1700 UTC,0,16,3,22,8
2021/01/06,1800 UTC,31,2,17,7,18
2021/01/06,1900 UTC,0,18,7,19,2
2021/01/06,2000 UTC,0,3,19,3,20
2021/01/06,2100 UTC,0,21,6,20,1
2021/01/06,2200 UTC,0,18,9,20,3
2021/01/06,2300 UTC,0,18,8,20,2
2021/01/07,0000 UTC,0,18,2,19,5
2021/01/07,0100 UTC,0,18,8,19,6
2021/01/07,0200 UTC,0,20,2,18,9
2021/01/07,0300 UTC,0,2,20,1,19
2021/01/07,0400 UTC,0,19,1,20,1
2021/01/07,0500 UTC,0,18,8,20,1
2021/01/07,0600 UTC,0,18,8,20,2
2021/01/07,0700 UTC,0,18,8,19,8
2021/01/07,0800 UTC,0,7,20,8,18
2021/01/07,0900 UTC,0,18,8,19,9
2021/01/07,1000 UTC,0,21,6,20,21
2021/01/07,1100 UTC,0,2,19,3,23
2021/01/07,1200 UTC,0,2,27,8,21
2021/01/07,1300 UTC,,20,8,27,21
2021/01/07,1400 UTC,,29,9,30,28
2021/01/07,1500 UTC,0,6,18,2,29
2021/01/07,1600 UTC,0,7,19,7,29
2021/01/07,1700 UTC,0,5,18,3,28
2021/01/07,1800 UTC,0,1,18,1,27
2021/01/07,1900 UTC,0,8,18,5,24
2021/01/07,2000 UTC,0,2,17,8,23
